用例分类,用例编号,用例名称,锁定设备,iswait,测试步骤,参数,执行状态,实际结果
多设备控制,control_001,打开所有设备,all,,发送”打开所有设备“音频信息,打开所有设备,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开所有设备""
  },
  ""nlg"": {
    
    ""text"": ""打开""
  }
}",,
多设备控制,control_002,关闭所有设备,all,,发送”关闭所有设备“音频信息,关闭所有设备,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""关闭所有设备""
  },
  ""nlg"": {
    
    ""text"": ""马上关掉""
  }
  
}",,
多设备控制,control_003,指定品类名打开,"FC1,AC1",,发送”打开空调和净化器“音频信息,打开空调和净化器,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开空调和净化器""
  },
  ""nlg"": {
    
    ""text"": ""马上打开""
  }
}",,
多设备控制,control_004,指定品类名关掉,"FC1,AC1",,发送“关闭空调和净化器”音频信息,关闭空调和净化器,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""关闭空调和净化器""
  },
  ""nlg"": {
    
    ""text"": ""马上关掉""
  }
}",,
多设备控制,control_005,区域设备控制-打开,"FC1,AC1",,发送”打开客厅所有设备“音频信息,打开客厅所有设备,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开客厅所有设备""
  },
  ""nlg"": {
    
    ""text"": ""马上打开""
  }
}",,
多设备控制,control_006,区域设备控制-关闭,"FC1,AC1",,发送“关闭客厅所有设备”音频信息,关闭客厅所有设备,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""关闭客厅所有设备""
  },
  ""nlg"": {
    
    ""text"": ""马上关掉""
  }
}",,
多设备控制,control_007,同品类设备控制-打开,AC1,,发送“打开客厅所有空调”音频信息,打开客厅所有空调,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开客厅所有空调""
  },
  ""nlg"": {
    
    ""text"": ""马上打开""
  }
}",,
多设备控制,control_008,同品类设备控制-关闭,AC1,,发送“关闭客厅所有空调”音频信息,关闭客厅所有空调,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""关闭客厅所有空调""
  },
  ""nlg"": {
    
    ""text"": ""马上关掉""
  }
}",,
设备继承,inherit_001,打开净化器-调节风速,FC1,,发送”打开净化器“音频信息,打开净化器,,
,,,,,发送“风速最大”音频信息,风速最大,,
,,,,,发送“风速小一点”音频信息,风速小一点,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""风速小一点""
  },
  ""nlg"": {
    
    ""text"": ""风速""
  },
  ""device_status"": {
    
    ""power"": ""on""
  }
}",,
设备继承,inherit_002,打开净化器-打开空调-调节风速,"FC1,AC1",,发送”打开净化器“音频信息,打开净化器,,
,,,,,发送”打开卧室空调“音频信息,打开卧室空调,,
,,,,,发送”卧室空调设为制冷模式“音频信息,卧室空调设为制冷模式,,
,,,,,发送”卧室空调设为最大风“音频信息,卧室空调设为最大风,,
,,,,,发送“风速小一点”音频信息,风速小一点,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""风速小一点""
  },
  ""nlg"": {
    
    ""text"": ""风速""
  },
  ""device_status"": {
    
    ""wind_speed"": 80
  }
}",,
设备继承,inherit_003,打开净化器-通用技能-空调关机,"FC1,AC1",,发送”打开净化器“音频信息,打开净化器,,
,,,,,发送“现在几点”音频信息,现在几点,,
,,,,,发送“卧室空调关闭”音频信息,卧室空调关闭,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""卧室空调关闭""
  },
  ""nlg"": {
    
    ""text"": ""关机""
  },
  ""device_status"": {
    
    ""power"": ""off""
  }
}",,
免设备名,free_deviceName_001,免设备名-控制灯,,,发送”光线亮一点“音频信息,光线亮一点,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""光线亮一点""
  },
  ""nlg"": {
    
    ""text"": ""没有找到这个家电""
  }
}",,
免设备名,free_deviceName_002,猜测设备名-洗衣机,DB1,,发送”帮我洗衣服“音频信息,帮我洗衣服,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""帮我洗衣服""
  },
  ""nlg"": {
    
    ""text"": ""没有找到这个家电""
  }
}",,
免设备名,free_deviceName_003,继承和猜设备名同时存在,DB1,,发送”洗衣机开机“音频信息,洗衣机开机,,
,,,,,发送”滤芯还能用多久“音频信息,滤芯还能用多久,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""滤芯还能用多久""
  },
  ""nlg"": {
    
    ""text"": ""没有找到这个家电""
  }
}",,
免设备名,free_deviceName_004,免设备+继承设备名,AC1,,发送”打开卧室空调的“音频信息,打开卧室空调,,
,,,,,发送”光线亮一点“音频信息,光线亮一点,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""光线亮一点""
  },
  ""nlg"": {
    
    ""text"": ""没有找到这个家电""
  }
}",,
场景控制,scence_001,我回来了,,,发送“我回来了”音频信息,我回来了,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""我回来了""
  },
  ""nlg"": {
    
    ""text"": ""回家场景""
  }
}",,
场景控制,scence_002,我上班去了,,,发送“我上班去了”音频信息,我上班去了,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""我上班去了""
  },
  ""nlg"": {
    
    ""text"": ""离家场景""
  }
}",,
场景控制,scence_003,早安,,,发送“早安”音频信息,早安,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""早安""
  },
  ""nlg"": {
    
    ""text"": ""晨起场景还没有设备""
  }
}",,
场景控制,scence_004,晚安,,,发送”关闭所有设备“音频信息,关闭所有设备,,
,,,,,发送“晚安”音频信息,晚安,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""晚安""
  },
  ""nlg"": {
    
    ""text"": ""睡个好觉""
  }
}",,
场景控制,scence_005,我要看书了,,,发送“我要看书了”音频信息,我要看书了,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""我要看书了""
  },
  ""nlg"": {
    
    ""text"": ""没有找到阅读场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_006,浪漫场景,,,发送“浪漫场景”音频信息,浪漫场景,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""浪漫场景""
  },
  ""nlg"": {
    
    ""text"": ""没有找到浪漫场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_007,聚会场景,,,发送“聚会场景”音频信息,聚会场景,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""聚会场景""
  },
  ""nlg"": {
    
    ""text"": ""没有找到聚会场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_008,普通场景,,,发送“普通场景”音频信息,普通场景,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""普通场景""
  },
  ""nlg"": {
    
    ""text"": ""没有找到普通场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_009,大海之歌,,,发送“大海之歌”音频信息,大海之歌,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""大海之歌""
  },
  ""nlg"": {
    
    ""text"": ""正在为您执行场景""
  }
}",,
场景控制,scence_010,暖暖春日,,,发送“暖暖春日”音频信息,暖暖春日,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""暖暖春日""
  },
  ""nlg"": {
    
    ""text"": ""正在为您执行场景""
  }
}",,
场景控制,scence_011,雪山之巅,,,发送“雪山之巅”音频信息,雪山之巅,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""雪山之巅""
  },
  ""nlg"": {
    
    ""text"": ""没有找到雪山之巅场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_013,万籁俱静,,,发送“万籁俱静”音频信息,万籁俱静,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""万籁俱静""
  },
  ""nlg"": {
    
    ""text"": ""没有找到万籁俱静场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_014,夜灯场景,,,发送“夜灯场景”音频信息,夜灯场景,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""夜灯场景""
  },
  ""nlg"": {
    
    ""text"": ""没有找到夜灯场景,请在美的美居APP上添加""
  }
}",,
场景控制,scence_015,宝宝洗浴场景,,,发送“宝宝洗浴场景”音频信息,宝宝洗浴场景,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""宝宝洗浴场景""
  },
  ""nlg"": {
    
    ""text"": ""没有找到宝宝场景,请在美的美居APP上添加""
  }
}",,
跨机控制,ac_001,打开空调,AC1,,发送”打开卧室空调的“音频信息,打开卧室空调,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开卧室空调""
  },
  ""nlg"": {
    
    ""text"": ""开机""
  },
  ""device_status"": {
    
    ""power"": ""on""
  }
}",,
跨机控制,ac_002,制冷模式,AC1,,发送”打开卧室空调“音频信息,打开卧室空调,,
,,,,,发送”制热模式“音频信息,制热模式卧室空调,,
,,,,,发送”卧室空调设为制冷模式“音频信息,卧室空调设为制冷模式,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""卧室空调设为制冷模式""
  },
  ""nlg"": {
    
    ""text"": ""制冷模式""
  },
  ""device_status"": {
    
    ""mode"": ""cool""
  }
}",,
跨机控制,ac_003,设置温度,AC1,,发送”打开卧室空调“音频信息,打开卧室空调,,
,,,,,发送”制热模式“音频信息,制热模式卧室空调,,
,,,,,发送”卧室空调二十五度“音频信息,卧室空调二十五度,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""卧室空调二十五度""
  },
  ""nlg"": {
    
    ""text"": ""25度""
  },
  ""device_status"": {
    
    ""temperature"": 25
  }
}",,
跨机控制,ac_004,调高风速,AC1,,发送”打开卧室空调“音频信息,打开卧室空调,,
,,,,,发送”卧室空调制冷模式“音频信息,卧室空调制冷模式,,
,,,,,发送”卧室空调设为最大风“音频信息,卧室空调设为最大风,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""卧室空调设为最大风""
  },
  ""nlg"": {
    
    ""text"": ""最大风""
  },
  ""device_status"": {
    
    ""wind_speed"": 100
  }
}",,
跨机控制,ac_005,制热模式,AC1,,发送”打开卧室空调“音频信息,打开卧室空调,,
,,,,,发送”制热模式“音频信息,制热模式卧室空调,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""制热模式卧室空调""
  },
  ""nlg"": {
    
    ""text"": ""制热""
  },
  ""device_status"": {
    
    ""mode"": ""heat""
  }
}",,
跨机控制,ac_006,空调关机,AC1,,发送”卧室空调关闭“音频信息,卧室空调关闭,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""卧室空调关闭""
  },
  ""nlg"": {
    
    ""text"": ""关机""
  },
  ""device_status"": {
    
    ""power"": ""off""
  }
}",,
跨机控制,ac_007,在开机状态下-查询空调状态,AC1,,发送”打开卧室空调“音频信息,打开卧室空调,,
,,,,,发送”卧室空调当前状态“音频信息,卧室空调当前状态,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""卧室空调当前状态""
  },
  ""nlg"": {
    
    ""text"": ""空调当前温度设定为""
  }
}",,
跨机控制,ac_008,在关闭状态下-查询空调状态,AC1,,发送”卧室空调关闭“音频信息,卧室空调关闭,,
,,,,,发送”卧室空调当前状态“音频信息,卧室空调当前状态,,
,,,,,校验-状态是否正确,"{
 
  ""asr"": {
    
    ""text"": ""卧室空调当前状态""
  },
  ""nlg"": {
    
    ""text"": ""空调已经关掉了""
  }
}",,
查询类,serach_001,空气质量查询,FC1,,发送打开净化器,打开净化器,,
,,,,,发送室内空气质量怎么样,室内空气质量怎么样,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""室内空气质量怎么样""
  },
  ""nlg"": {
    
    ""text"": ""PM2.5""
  }
}",,
查询类,serach_002,空调状态,AC1,,发送打开卧室空调,打开卧室空调,,
,,,,,发送空调当前状态音频,空调当前状态,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调当前状态""
  },
  ""nlg"": {
    
    ""text"": ""温度""
  }
}",,
查询类,serach_003,我有哪些智能家电,,,发送我有哪些智能家电音频,我有哪些智能家电,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""我有哪些智能家电""
  },
  ""nlg"": {
    
    ""text"": ""目前小美可以控制的家电有""
  }
}",,
Public,public_001,音乐技能,,,发送“来一首歌”,来一首歌,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""来一首歌""
  },
  ""nlg"": {
    ""text"": """"
  }
}",,
Public,public_002,儿歌技能,,,发送“来一首儿歌”,来一首儿歌,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""来一首儿歌""
  },
  ""nlg"": {
    ""text"": """"
  }
}",,
Public,public_003,故事技能,,,发送“讲个故事吧”,讲个故事吧,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""讲个故事吧""
  },
  ""nlg"": {
    ""text"": """"
  }
}",,
Public,public_004,笑话技能,,,发送“讲个笑话吧”,讲个笑话吧,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""讲个笑话吧""
  },
  ""nlg"": {
    ""text"": """"
  }
}",,
Public,public_005,曲艺技能,,,发送“来一首戏曲”,来一首戏曲,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""来一首戏曲""
  },
  ""nlg"": {
    ""text"": """"
  }
}",,
Public,public_006,相声技能,,,发送“来一段相声”,来一段相声,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""来一段相声""
  },
  ""nlg"": {
    ""text"": """"
  }
}",,
Public,public_007,天气技能,,,发送“天气预报”,天气预报,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""天气预报""
  },
  ""nlg"": {
    ""text"": ""气温""
  }
}",,
Public,public_008,时间技能,,,发送“现在几点”,现在几点,,
